arco_codigo,arco_codMunicipio,arco_codCultivo,arco_anio,arco_semestre,arco_HasTotalPlantada,arco_HasNuevas,arco_HasRenovadas,arco_HasCosechadas,arco_toneladasProduccion,arco_rendimiento,arco_precioProductor,arco_precioPromedioProduccion,arco_costoPromedioEstablecimiento,arco_costoPromedioSostenimiento
,41801,14,2015,,21.00,,,21.00,124.00,,,,,
,41797,14,2015,,2.00,,,2.00,12.00,,,,,
,41807,14,2015,,25.50,,,25.50,211.50,,,,,
,41872,14,2015,,55.00,,,55.00,367.50,,,,,
,41885,14,2015,,10.00,,,10.00,14.00,,,,,
,41006,13,2015,,0.00,,,0.00,0.00,,,,,
,41013,13,2015,,0.00,,,0.00,0.00,,,,,
,41016,13,2015,,0.00,,,0.00,0.00,,,,,
,41020,13,2015,,8.00,,,8.00,48.00,,,,,
,41026,13,2015,,0.00,,,0.00,0.00,,,,,
,41078,13,2015,,15.00,,,12.00,84.00,,,,,
,41132,13,2015,,0.00,,,0.00,0.00,,,,,
,41206,13,2015,,6.00,,,6.00,36.00,,,,,
,41244,13,2015,,0.00,,,0.00,0.00,,,,,
,41298,13,2015,,7.00,,,7.00,45.50,,,,,
,41306,13,2015,,6.00,,,5.00,32.50,,,,,
,41319,13,2015,,5.50,,,3.50,22.75,,,,,
,41349,13,2015,,0.00,,,0.00,0.00,,,,,
,41357,13,2015,,0.00,,,0.00,0.00,,,,,
,41359,13,2015,,0.00,,,0.00,0.00,,,,,
,41378,13,2015,,0.00,,,0.00,0.00,,,,,
,41396,13,2015,,20.00,,,12.00,72.00,,,,,
,41483,13,2015,,0.00,,,0.00,0.00,,,,,
,41001,13,2015,,7.00,,,5.00,30.00,,,,,
,41503,13,2015,,0.00,,,0.00,0.00,,,,,
,41518,13,2015,,0.00,,,0.00,0.00,,,,,
,41524,13,2015,,0.00,,,0.00,0.00,,,,,
,41530,13,2015,,0.00,,,0.00,0.00,,,,,
,41548,13,2015,,5.00,,,5.00,32.50,,,,,
,41551,13,2015,,7.50,,,1.00,6.00,,,,,
,41615,13,2015,,0.00,,,0.00,0.00,,,,,
,41660,13,2015,,0.00,,,0.00,0.00,,,,,
,41668,13,2015,,7.00,,,7.00,42.00,,,,,
,41676,13,2015,,0.00,,,0.00,0.00,,,,,
,41770,13,2015,,0.00,,,0.00,0.00,,,,,
,41791,13,2015,,0.00,,,0.00,0.00,,,,,
,41799,13,2015,,2.00,,,2.00,10.00,,,,,
,41801,13,2015,,0.00,,,0.00,0.00,,,,,
,41797,13,2015,,0.00,,,0.00,0.00,,,,,
,41807,13,2015,,0.00,,,0.00,0.00,,,,,
,41872,13,2015,,0.00,,,0.00,0.00,,,,,
,41885,13,2015,,0.00,,,0.00,0.00,,,,,
,41006,16,2015,,3.00,,,3.00,15.00,,,,,
,41013,16,2015,,0.00,,,0.00,0.00,,,,,
,41016,16,2015,,0.00,,,0.00,0.00,,,,,
,41020,16,2015,,7.00,,,7.00,42.00,,,,,
,41026,16,2015,,0.00,,,0.00,0.00,,,,,
,41078,16,2015,,0.00,,,0.00,0.00,,,,,
,41132,16,2015,,0.00,,,0.00,0.00,,,,,
,41206,16,2015,,0.00,,,0.00,0.00,,,,,
,41244,16,2015,,0.00,,,0.00,0.00,,,,,
,41298,16,2015,,4.00,,,1.00,8.00,,,,,
,41306,16,2015,,2.00,,,2.00,11.00,,,,,
,41319,16,2015,,6.00,,,6.00,36.00,,,,,
,41349,16,2015,,0.00,,,0.00,0.00,,,,,
,41357,16,2015,,0.00,,,0.00,0.00,,,,,
,41359,16,2015,,0.00,,,0.00,0.00,,,,,
,41378,16,2015,,121.00,,,111.00,666.00,,,,,
,41396,16,2015,,9.00,,,5.50,27.50,,,,,
,41483,16,2015,,0.00,,,0.00,0.00,,,,,
,41001,16,2015,,0.00,,,0.00,0.00,,,,,
,41503,16,2015,,3.00,,,3.00,16.50,,,,,
,41518,16,2015,,0.00,,,0.00,0.00,,,,,
,41524,16,2015,,0.00,,,0.00,0.00,,,,,
,41530,16,2015,,207.00,,,150.00,900.00,,,,,
,41548,16,2015,,24.00,,,16.00,96.00,,,,,
,41551,16,2015,,6.00,,,6.00,36.00,,,,,
,41615,16,2015,,0.00,,,0.00,0.00,,,,,
,41660,16,2015,,0.00,,,0.00,0.00,,,,,
,41668,16,2015,,2.00,,,2.00,12.00,,,,,
,41676,16,2015,,0.00,,,0.00,0.00,,,,,
,41770,16,2015,,0.00,,,0.00,0.00,,,,,
,41791,16,2015,,7.00,,,7.00,31.50,,,,,
,41799,16,2015,,0.00,,,0.00,0.00,,,,,
,41801,16,2015,,0.00,,,0.00,0.00,,,,,
,41797,16,2015,,0.00,,,0.00,0.00,,,,,
,41807,16,2015,,0.00,,,0.00,0.00,,,,,
,41872,16,2015,,0.00,,,0.00,0.00,,,,,
,41885,16,2015,,0.00,,,0.00,0.00,,,,,
,41006,31,2015,,0.00,,,0.00,0.00,,,,,
,41013,31,2015,,0.00,,,0.00,0.00,,,,,
,41016,31,2015,,0.00,,,0.00,0.00,,,,,
,41020,31,2015,,0.00,,,0.00,0.00,,,,,
,41026,31,2015,,0.00,,,0.00,0.00,,,,,
,41078,31,2015,,0.00,,,0.00,0.00,,,,,
,41132,31,2015,,0.00,,,0.00,0.00,,,,,
,41206,31,2015,,0.00,,,0.00,0.00,,,,,
,41244,31,2015,,0.00,,,0.00,0.00,,,,,
,41298,31,2015,,0.00,,,0.00,0.00,,,,,
,41306,31,2015,,0.00,,,0.00,0.00,,,,,
,41319,31,2015,,0.00,,,0.00,0.00,,,,,
,41349,31,2015,,0.00,,,0.00,0.00,,,,,
,41357,31,2015,,0.00,,,0.00,0.00,,,,,
,41359,31,2015,,0.00,,,0.00,0.00,,,,,
,41378,31,2015,,0.00,,,0.00,0.00,,,,,
,41396,31,2015,,1.00,,,0.30,0.15,,,,,
,41483,31,2015,,0.00,,,0.00,0.00,,,,,
,41001,31,2015,,0.00,,,0.00,0.00,,,,,
,41503,31,2015,,0.00,,,0.00,0.00,,,,,
,41518,31,2015,,0.00,,,0.00,0.00,,,,,
,41524,31,2015,,0.00,,,0.00,0.00,,,,,
,41530,31,2015,,0.00,,,0.00,0.00,,,,,
,41548,31,2015,,0.00,,,0.00,0.00,,,,,
,41551,31,2015,,0.00,,,0.00,0.00,,,,,
,41615,31,2015,,1.00,,,1.00,0.30,,,,,
,41660,31,2015,,0.00,,,0.00,0.00,,,,,
,41668,31,2015,,0.00,,,0.00,0.00,,,,,
,41676,31,2015,,0.00,,,0.00,0.00,,,,,
,41770,31,2015,,0.00,,,0.00,0.00,,,,,
,41791,31,2015,,0.00,,,0.00,0.00,,,,,
,41799,31,2015,,0.00,,,0.00,0.00,,,,,
,41801,31,2015,,0.00,,,0.00,0.00,,,,,
,41797,31,2015,,0.00,,,0.00,0.00,,,,,
,41807,31,2015,,0.00,,,0.00,0.00,,,,,
,41872,31,2015,,1.00,,,1.00,0.35,,,,,
,41885,31,2015,,0.00,,,0.00,0.00,,,,,
,41006,21,2015,,35.00,,,28.00,364.00,,,,,
,41013,21,2015,,7.00,,,3.00,42.00,,,,,
,41016,21,2015,,21.00,,,19.00,266.00,,,,,
,41020,21,2015,,157.00,,,124.00,1922.00,,,,,
,41026,21,2015,,2.00,,,2.00,20.00,,,,,
,41078,21,2015,,68.00,,,46.00,644.00,,,,,
,41132,21,2015,,24.00,,,20.00,260.00,,,,,
,41206,21,2015,,105.50,,,99.00,1386.00,,,,,
,41244,21,2015,,5.00,,,2.00,28.00,,,,,
,41298,21,2015,,93.00,,,75.00,1125.00,,,,,
,41306,21,2015,,73.00,,,26.00,364.00,,,,,
,41319,21,2015,,39.00,,,25.00,300.00,,,,,
,41349,21,2015,,9.00,,,9.00,117.00,,,,,
,41357,21,2015,,73.50,,,63.50,952.50,,,,,
,41359,21,2015,,77.00,,,66.00,858.00,,,,,
,41378,21,2015,,416.50,,,249.50,3493.00,,,,,
,41396,21,2015,,92.50,,,66.50,931.00,,,,,
,41483,21,2015,,28.00,,,14.00,182.00,,,,,
,41001,21,2015,,23.00,,,17.50,227.50,,,,,
,41503,21,2015,,26.00,,,15.00,195.00,,,,,
,41518,21,2015,,12.50,,,10.50,110.25,,,,,
,41524,21,2015,,60.00,,,57.50,805.00,,,,,
,41530,21,2015,,489.00,,,320.00,4800.00,,,,,
,41548,21,2015,,21.00,,,5.50,49.50,,,,,
,41551,21,2015,,252.00,,,203.00,2842.00,,,,,
,41615,21,2015,,11.30,,,7.30,94.90,,,,,
,41660,21,2015,,32.00,,,15.00,210.00,,,,,
,41668,21,2015,,160.00,,,138.00,1932.00,,,,,
,41676,21,2015,,260.00,,,230.00,3680.00,,,,,
,41770,21,2015,,38.00,,,24.00,288.00,,,,,
,41791,21,2015,,30.50,,,16.50,148.50,,,,,
,41799,21,2015,,91.00,,,80.00,640.00,,,,,
,41801,21,2015,,8.50,,,6.50,78.00,,,,,
,41797,21,2015,,4.00,,,3.50,38.50,,,,,
,41807,21,2015,,6.00,,,2.00,24.00,,,,,
,41872,21,2015,,0.00,,,0.00,0.00,,,,,
,41885,21,2015,,0.00,,,0.00,0.00,,,,,
,41006,20,2015,,0.00,,,0.00,0.00,,,,,
,41013,20,2015,,6.50,,,3.50,31.50,,,,,
,41016,20,2015,,3.00,,,3.00,27.00,,,,,
,41020,20,2015,,25.50,,,22.50,247.50,,,,,
,41026,20,2015,,5.25,,,2.25,18.00,,,,,
,41078,20,2015,,2.00,,,2.00,18.00,,,,,
,41132,20,2015,,43.00,,,34.00,272.00,,,,,
,41206,20,2015,,0.00,,,0.00,0.00,,,,,
,41244,20,2015,,2.00,,,0.00,0.00,,,,,
,41298,20,2015,,17.00,,,13.50,135.00,,,,,
,41306,20,2015,,22.00,,,7.00,63.00,,,,,
,41319,20,2015,,11.00,,,8.00,60.00,,,,,
,41349,20,2015,,3.50,,,3.50,24.50,,,,,
