coas_codigo,coas_municipio,coas_anio,coas_cobertura,coas_tipo_poblacion,coas_num_personas
374,41020,2015,2,4,3
375,41026,2015,2,4,0
376,41078,2015,2,4,0
377,41132,2015,2,4,4
378,41206,2015,2,4,0
379,41244,2015,2,4,0
380,41298,2015,2,4,9
381,41306,2015,2,4,0
382,41319,2015,2,4,1
383,41349,2015,2,4,0
384,41357,2015,2,4,0
385,41359,2015,2,4,0
386,41378,2015,2,4,4
387,41396,2015,2,4,2
388,41483,2015,2,4,0
389,41001,2015,2,4,26
390,41503,2015,2,4,0
391,41518,2015,2,4,0
392,41524,2015,2,4,11
393,41530,2015,2,4,2
394,41548,2015,2,4,0
395,41551,2015,2,4,9
396,41615,2015,2,4,0
397,41660,2015,2,4,1
398,41668,2015,2,4,0
399,41676,2015,2,4,1
400,41770,2015,2,4,0
401,41791,2015,2,4,3
402,41799,2015,2,4,1
403,41801,2015,2,4,2
404,41797,2015,2,4,0
405,41807,2015,2,4,4
406,41872,2015,2,4,0
407,41885,2015,2,4,7
408,41006,2015,2,5,0
409,41013,2015,2,5,1
410,41016,2015,2,5,2
411,41020,2015,2,5,0
412,41026,2015,2,5,0
413,41078,2015,2,5,0
414,41132,2015,2,5,3
415,41206,2015,2,5,0
416,41244,2015,2,5,0
417,41298,2015,2,5,8
418,41306,2015,2,5,0
419,41319,2015,2,5,1
420,41349,2015,2,5,1
421,41357,2015,2,5,0
422,41359,2015,2,5,1
423,41378,2015,2,5,0
424,41396,2015,2,5,25
425,41483,2015,2,5,3
426,41001,2015,2,5,174
427,41503,2015,2,5,0
428,41518,2015,2,5,0
429,41524,2015,2,5,10
430,41530,2015,2,5,1
431,41548,2015,2,5,0
432,41551,2015,2,5,31
433,41615,2015,2,5,1
434,41660,2015,2,5,0
435,41668,2015,2,5,0
436,41676,2015,2,5,0
437,41770,2015,2,5,0
438,41791,2015,2,5,0
439,41799,2015,2,5,0
440,41801,2015,2,5,0
441,41797,2015,2,5,7
442,41807,2015,2,5,0
443,41872,2015,2,5,0
444,41885,2015,2,5,0
445,41006,2015,2,6,2
446,41013,2015,2,6,0
447,41016,2015,2,6,1
448,41020,2015,2,6,1
449,41026,2015,2,6,0
450,41078,2015,2,6,1
451,41132,2015,2,6,2
452,41206,2015,2,6,0
453,41244,2015,2,6,0
454,41298,2015,2,6,1
